SYMBOL,Z,N,A,EPorc,MAE,MSE
Ne,10,8,18,0.19286351572728141,0.014337296765607022,0.00020555807854508556
Ne,10,9,19,0.28434397125767064,0.021957037407974944,0.00048211149173521105
Ne,10,10,20,0.22845170776125368,0.018551595986796343,0.0003441617136573182
Ne,10,11,21,0.1917609723901225,0.015560697342813512,0.0002421353017946435
Ne,10,12,22,0.5223282236451531,0.04312435817213078,0.001859710267758223
Ne,10,13,23,0.3897461948022123,0.031519497626080195,0.000993478730600475
Ne,10,14,24,1.1573689520389276,0.09348720892883478,0.008739858233303605
Ne,10,15,25,0.26179523530343984,0.02047069154960468,0.00041904921251905645
Ne,10,16,26,0.08890200060466198,0.006863617037473624,4.71092388370982e-05
Ne,10,17,27,1.702136785949724,0.12622779292877073,0.01593345570766862
Ne,10,18,28,2.810437544949121,0.20417429656715758,0.041687143378693614
Ne,10,19,29,4.8905443382012,0.33936639978868577,0.1151695533055341
Ne,10,20,30,6.8424624210268306,0.46248846347871453,0.21389557885090227
Ne,10,21,31,9.132279376206581,0.5869839601329678,0.34455016945338157
Na,11,6,17,14.96296314768266,0.7400202941232212,0.5476300357142189
Na,11,7,18,6.208068127758991,0.3683976884321378,0.1357168568421425
Na,11,8,19,2.2906838634249564,0.1583032904068986,0.02505993175365088
Na,11,9,20,1.7495341402464466,0.12856131209601074,0.016528010967847877
Na,11,10,21,0.10002498917610722,0.007866658687649242,6.188431890796729e-05
Na,11,11,22,0.6686291971970296,0.05338815459191082,0.002850295050729768
Na,11,12,23,0.40588883046464447,0.033382329873365535,0.001114379947774193
Na,11,13,24,1.318642669245604,0.10758034962738527,0.011573531625950454
Na,11,14,25,0.18613445091268463,0.015316020700693045,0.00023458049010405786
Na,11,15,26,0.08049269298620744,0.006482199689946455,4.201891282034192e-05
Na,11,16,27,0.35997339351939067,0.02886248695258331,0.0008330431530880418
Na,11,17,28,0.32466205176297724,0.025257661545823318,0.000637949466763362
Na,11,18,29,0.7183506186315213,0.055163764179418706,0.0030430408784425183
Na,11,19,30,1.9408653991774902,0.14374944863690242,0.02066390398341345
Na,11,20,31,3.150409247930845,0.22891344222009558,0.05240136402905304
