EL,N,Z,A,BEA
Zr,43,40,83,8.4883997
Zr,44,40,84,8.5490301
Zr,45,40,85,8.5640394
Zr,46,40,86,8.6140523
Zr,47,40,87,8.6236545
Zr,48,40,88,8.6660339
Zr,49,40,89,8.6733865
Zr,50,40,90,8.7099699
Zr,51,40,91,8.6933149
Zr,52,40,92,8.6926783
Zr,53,40,93,8.6716207
Zr,54,40,94,8.6668016
Zr,55,40,95,8.6435924
Zr,56,40,96,8.6353283
Zr,57,40,97,8.6037182
Zr,58,40,98,8.5813984
Zr,59,40,99,8.539225
Zr,60,40,100,8.5221066
Zr,61,40,101,8.4858439
Zr,62,40,102,8.466294
Zr,63,40,103,8.4258337
Zr,64,40,104,8.4023159
Zr,65,40,105,8.358598
Nb,42,41,83,8.3789889
Nb,43,41,84,8.4179563
Nb,44,41,85,8.4737117
Nb,45,41,86,8.5022231
Nb,46,41,87,8.5517579
Nb,47,41,88,8.5724013
Nb,48,41,89,8.6168184
Nb,49,41,90,8.633377
Nb,50,41,91,8.6708983
Nb,51,41,92,8.6623731
Nb,52,41,93,8.6641849
Nb,53,41,94,8.6489014
Nb,54,41,95,8.6472133
Nb,55,41,96,8.6288868
Nb,56,41,97,8.6231384
Nb,57,41,98,8.5963016
Nb,58,41,99,8.5789859
Nb,59,41,100,8.5484683
Nb,60,41,101,8.5348355
Nb,61,41,102,8.5048675
Nb,62,41,103,8.488332
Nb,63,41,104,8.4533832
Nb,64,41,105,8.4316925
Nb,65,41,106,8.3932657
Nb,66,41,107,8.3670898
Nb,67,41,108,8.3256604
Nb,68,41,109,8.2971307
Nb,69,41,110,8.2552607
Mo,43,42,85,8.361332
Mo,44,42,86,8.4347175
Mo,45,42,87,8.4624243
Mo,46,42,88,8.5239087
Mo,47,42,89,8.5449851
Mo,48,42,90,8.5970285
Mo,49,42,91,8.6136286
Mo,50,42,92,8.6577312
Mo,51,42,93,8.6514095
Mo,52,42,94,8.6623341
Mo,53,42,95,8.6487212
Mo,54,42,96,8.653988
Mo,55,42,97,8.6350926
Mo,56,42,98,8.6351691
Mo,57,42,99,8.6077982
Mo,58,42,100,8.6046626
Mo,59,42,101,8.5729159
Mo,60,42,102,8.5683994
Mo,61,42,103,8.5382672
Mo,62,42,104,8.5279063
Mo,63,42,105,8.494863
Mo,64,42,106,8.4795202
Mo,65,42,107,8.442219
Mo,66,42,108,8.4221581
Mo,67,42,109,8.3814163
Mo,68,42,110,8.359293
Mo,69,42,111,8.3152932
Tc,44,43,87,8.3477449
Tc,45,43,88,8.3898338
Tc,46,43,89,8.4505758
Tc,47,43,90,8.48336
Tc,48,43,91,8.5366558
Tc,49,43,92,8.563544
Tc,50,43,93,8.6085782
Tc,51,43,94,8.6087373
Tc,52,43,95,8.6226911
Tc,53,43,96,8.6148673
Tc,54,43,97,8.6237254
Tc,55,43,98,8.6100047
Tc,56,43,99,8.6136105
Tc,57,43,100,8.5951184
Tc,58,43,101,8.5931366
Tc,59,43,102,8.5706514
Tc,60,43,103,8.5661045
Tc,61,43,104,8.541107
Tc,62,43,105,8.5346074
Tc,63,43,106,8.506557
Tc,64,43,107,8.4928979
Tc,65,43,108,8.4628172
Tc,66,43,109,8.4441796
Tc,67,43,110,8.4112603
Tc,68,43,111,8.3900906
Tc,69,43,112,8.3536217
Tc,70,43,113,8.3294652
Tc,71,43,114,8.2902599
Ru,45,44,89,8.340376
Ru,46,44,90,8.4097684
Ru,47,44,91,8.4429287
Ru,48,44,92,8.504774
Ru,49,44,93,8.5314627
Ru,50,44,94,8.583662
Ru,51,44,95,8.5874706
Ru,52,44,96,8.609413
Ru,53,44,97,8.6042799
Ru,54,44,98,8.620314
Ru,55,44,99,8.6087132
Ru,56,44,100,8.6193593
Ru,57,44,101,8.601366
Ru,58,44,102,8.6074275
Ru,59,44,103,8.5843656
Ru,60,44,104,8.5873998
Ru,61,44,105,8.5619016
Ru,62,44,106,8.5609406
Ru,63,44,107,8.5333676
Ru,64,44,108,8.5272267
Ru,65,44,109,8.496228
Ru,66,44,110,8.4863123
Ru,67,44,111,8.4529582
Ru,68,44,112,8.4392431
Ru,69,44,113,8.4026857
Ru,70,44,114,8.3853351
Ru,71,44,115,8.346814
Ru,72,44,116,8.326884
Ru,73,44,117,8.2855625
Rh,47,45,92,8.3734211
Rh,48,45,93,8.4348255
Rh,49,45,94,8.4724033
Rh,50,45,95,8.5253707
Rh,51,45,96,8.5346735
Rh,52,45,97,8.5598949
Rh,53,45,98,8.5608038
Rh,54,45,99,8.5801959
Rh,55,45,100,8.5751732
Rh,56,45,101,8.5882172
Rh,57,45,102,8.5769818
Rh,58,45,103,8.5841927
Rh,59,45,104,8.5689501
Rh,60,45,105,8.5727053
Rh,61,45,106,8.5539317
Rh,62,45,107,8.554104
Rh,63,45,108,8.5326657
Rh,64,45,109,8.5281404
